Order Date,Delivery Date,Customer Name,CustomerID,City,Country,Country Code, Cost,Sales,Quantity,Discount,Delivery Cost,MenuID,Course Name,Cuisine Name,Starter Name,Desert Name,Drink,Sides
15/06/2020,26/03/2020,Laney Fadden,707,Daruoyan,China,CN,125,187.5,2,20,60.51,1,Greek salad,Greek,Olives,Greek yoghurt,Athens White wine,Tapas
25/08/2020,17/07/2020,Giacopo Bramich,645,Ongjin,North Korea,KP,235,352.5,1,15,96.75,2,Bean soup,Italian,Flatbread,Ice cream,Corfu Red Wine,Potato salad
17/08/2021,24/04/2020,Lia Bonar,907,Quince Mil,Peru,PE,75,112.5,3,10.52,36.37,3,Pizza,Italian,Minestrone,Cheesecake,Italian Coffee,Bruschetta
14/08/2021,13/04/2020,Merrill Baudon,725,Susaki,Japan,JP,220,330,3,11.23,5.49,4,Carbonara,Turkish,Tomato bread,Affogato,Roma Red wine,Focaccia
20/12/2020,02/02/2021,Tasia Fautly,808,Tobruk,Libya,LY,320,480,2,51.05,63.64,5,Kabasa,Greek,Falafel,Turkish yoghurt,Ankara White Wine,Meatballs
01/03/2020,13/01/2020,Angel Veschambre,762,Rafael Hernandez Ochoa,Mexico,MX,210,315,1,89.84,5.04,6,Shwarma,Italian,Hummus,Baklava,Turkish Coffee,Fries
04/10/2021,26/10/2019,Sheilah Maestro,103,Belozërskoye,Russia,RU,310,465,2,17.4,56.95,7,Greek salad,Italian,Olives,Greek yoghurt,Athens White wine,Tapas
09/10/2021,27/12/2020,Audie Willcocks,846,Póvoa do Valado,Portugal,PT,225,337.5,3,91.41,91.05,8,Bean soup,Turkish,Flatbread,Ice cream,Corfu Red Wine,Potato salad
27/12/2021,16/04/2021,Mart Malsher,895,Gal’bshtadt,Russia,RU,190,285,2,9.71,86.28,9,Pizza,Greek,Minestrone,Cheesecake,Italian Coffee,Bruschetta
05/03/2020,13/11/2021,Magdalen Lacheze,206,Fuyang,China,CN,98,147,1,80.34,31.34,10,Carbonara,Italian,Tomato bread,Affogato,Roma Red wine,Focaccia
20/07/2019,28/11/2019,Margarita Mancktelow,42,Pindiga,Nigeria,NG,168.27,252.41,3,54.08,85.08,11,Kabasa,Italian,Falafel,Turkish yoghurt,Ankara White Wine,Meatballs
26/06/2022,17/04/2021,Ashil Brogini,705,Wakayama-shi,Japan,JP,101.6,152.4,3,98.01,25.98,12,Shwarma,Turkish,Hummus,Baklava,Turkish Coffee,Fries
03/12/2020,07/01/2022,Arthur Mathewson,95,Qingshan,China,CN,93.13,139.7,2,99.24,96.84,1,Greek salad,Greek,Olives,Greek yoghurt,Athens White wine,Tapas
13/04/2022,05/07/2020,Ennis Dungate,80,Pueblo Viejo,Panama,PA,44.57,66.86,1,30,31.22,2,Bean soup,Italian,Flatbread,Ice cream,Corfu Red Wine,Potato salad
22/08/2020,17/03/2020,Tiffani Halstead,545,Chelbasskaya,Russia,RU,91.84,137.76,2,37.04,88.76,3,Pizza,Italian,Minestrone,Cheesecake,Italian Coffee,Bruschetta
30/09/2020,27/11/2021,Roddie Winterbotham,742,Leticia,Colombia,CO,133.17,199.76,3,24,63.21,4,Carbonara,Turkish,Tomato bread,Affogato,Roma Red wine,Focaccia
04/09/2019,14/10/2022,Pincas Stearn,96,Bielefeld,Germany,DE,52.08,78.12,2,10,17.25,5,Kabasa,Greek,Falafel,Turkish yoghurt,Ankara White Wine,Meatballs
29/04/2021,03/12/2019,Tony Crabtree,822,Kuzhu,China,CN,83.99,125.99,1,53.53,39.3,6,Shwarma,Italian,Hummus,Baklava,Turkish Coffee,Fries
14/04/2020,06/04/2022,Tamarah Filasov,848,Kertamukti,Indonesia,ID,69.38,104.07,3,23,53.56,7,Greek salad,Italian,Olives,Greek yoghurt,Athens White wine,Tapas
24/04/2020,29/12/2019,Pen Pruce,657,Yeghegnut,Armenia,AM,119.8,179.7,3,73.09,28.6,13,Bean soup,Turkish,Olives,Ice cream,Corfu Red Wine,Potato salad
30/09/2019,30/12/2020,Boot Burree,361,Baisangguan,China,CN,125,187.5,2,20.33,61.97,14,Pizza,Greek,Flatbread,Cheesecake,Italian Coffee,Bruschetta
08/06/2021,15/12/2021,Sabra Calbreath,63,Františkovy Lázně,Czech Republic,CZ,235,352.5,1,9.12,36.98,15,Carbonara,Italian,Minestrone,Affogato,Roma Red wine,Focaccia
01/06/2020,28/09/2021,Obidiah Zanicchi,851,Tabu,Indonesia,ID,75,112.5,2,67.77,27.07,16,Kabasa,Italian,Tomato bread,Turkish yoghurt,Ankara White Wine,Meatballs
03/11/2021,05/01/2020,Anders Stowe,712,Da’anshan,China,CN,220,330,3,35.44,60.52,17,Shwarma,Turkish,Falafel,Baklava,Turkish Coffee,Fries
02/02/2020,04/02/2020,Locke Janaway,781,Jelat,Indonesia,ID,320,480,2,31.2,56.51,18,Greek salad,Greek,Hummus,Greek yoghurt,Athens White wine,Tapas
13/09/2019,11/10/2020,Kaylyn Colebourne,238,Shuangqiao,China,CN,210,315,1,61.49,10.69,19,Bean soup,Italian,Olives,Ice cream,Corfu Red Wine,Potato salad
25/08/2020,03/09/2022,Noni Quickenden,852,Mont-Royal,Canada,CA,310,465,3,91.14,95.63,20,Pizza,Italian,Flatbread,Cheesecake,Italian Coffee,Bruschetta
22/04/2021,19/04/2020,Alan Paskell,941,Longzui,China,CN,225,337.5,3,97.48,27.41,21,Carbonara,Turkish,Minestrone,Affogato,Roma Red wine,Focaccia
09/08/2019,06/11/2020,Anny Pattemore,914,Karanganyar,Indonesia,ID,190,285,2,68.89,41.35,22,Kabasa,Greek,Tomato bread,Turkish yoghurt,Ankara White Wine,Meatballs
12/04/2022,19/11/2022,Les Harmson,47,Podkamennaya Tunguska,Russia,RU,98,147,1,47.84,81.65,23,Shwarma,Italian,Falafel,Baklava,Turkish Coffee,Fries
28/01/2022,12/03/2021,Horatio Lundy,343,Huangcun,China,CN,168.27,252.41,2,94.76,29.39,24,Greek salad,Italian,Hummus,Greek yoghurt,Athens White wine,Tapas
02/04/2021,31/08/2022,Sibley Rodder,454,Tyvriv,Ukraine,UA,101.6,152.4,3,20,80.78,13,Bean soup,Turkish,Olives,Ice cream,Corfu Red Wine,Potato salad
23/11/2021,25/08/2020,Dniren Copperwaite,776,Zhuhu,China,CN,93.13,139.7,2,15,89.49,14,Pizza,Greek,Flatbread,Cheesecake,Italian Coffee,Bruschetta
05/04/2022,16/12/2019,Sorcha Beesley,878,Zabrat,Azerbaijan,AZ,44.57,66.86,1,10.52,85.67,15,Carbonara,Italian,Minestrone,Affogato,Roma Red wine,Focaccia
10/08/2019,24/01/2022,Alison Jamieson,538,Cambuí,Brazil,BR,91.84,137.76,3,11.23,3.41,16,Kabasa,Italian,Tomato bread,Turkish yoghurt,Ankara White Wine,Meatballs
27/02/2022,04/04/2021,Dre Danher,783,Libei,China,CN,133.17,199.76,3,51.05,84.09,17,Shwarma,Turkish,Falafel,Baklava,Turkish Coffee,Fries
08/08/2019,09/10/2020,Chris Gummer,882,Kubangwaru,Indonesia,ID,52.08,78.12,2,89.84,49.69,18,Greek salad,Greek,Hummus,Greek yoghurt,Athens White wine,Tapas
04/05/2022,06/05/2021,Adiana Shirtliff,969,Haradzyeya,Belarus,BY,83.99,125.99,1,17.4,15.9,19,Bean soup,Italian,Olives,Ice cream,Corfu Red Wine,Potato salad
05/10/2020,19/12/2022,Derry Davis,253,La Loma,Panama,PA,69.38,104.07,2,91.41,80.86,25,Pizza,Italian,Olives,Cheesecake,Italian Coffee,Bruschetta
27/01/2021,25/01/2021,Lenci McFadzean,77,El Triunfo de la Cruz,Honduras,HN,119.8,179.7,3,9.71,33.7,26,Carbonara,Turkish,Flatbread,Affogato,Roma Red wine,Focaccia
14/08/2019,07/01/2022,Uriel Grooby,180,Izumi,Japan,JP,125,187.5,2,80.34,18.6,27,Kabasa,Greek,Minestrone,Turkish yoghurt,Ankara White Wine,Meatballs
